Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Previous Purchases,Payment Method,Frequency of Purchases,Frequency Score,Amount Normalized,Purchases Normalized,Value Score,Value Tier,Purchases Freq Normalized,Loyalty Score A,Loyalty Score B,Promo Dependency Score,Satisfaction Flag,Loyalty Tier
1,55,Male,Blouse,Clothing,53,Kentucky,L,Gray,Winter,3.1,Yes,Express,Yes,14,Venmo,Fortnightly,4,0.4125,0.2653061224489796,0.33890306122448977,Mid Value,0.75,0.5076530612244898,0.4061224489795919,2,Unsatisfied,Mid Loyalty
2,19,Male,Sweater,Clothing,64,Maine,L,Maroon,Winter,3.1,Yes,Express,Yes,2,Cash,Fortnightly,4,0.55,0.02040816326530612,0.2852040816326531,Low Value,0.75,0.3852040816326531,0.3081632653061225,2,Unsatisfied,Low Loyalty
3,50,Male,Jeans,Clothing,73,Massachusetts,S,Maroon,Spring,3.1,Yes,Free Shipping,Yes,23,Credit Card,Weekly,5,0.6625,0.4489795918367347,0.5557397959183673,Mid Value,1.0,0.7244897959183674,0.5795918367346939,2,Unsatisfied,Mid Loyalty
4,21,Male,Sandals,Footwear,90,Rhode Island,M,Maroon,Spring,3.5,Yes,Next Day Air,Yes,49,PayPal,Weekly,5,0.875,0.9795918367346939,0.9272959183673469,High Value,1.0,0.9897959183673469,0.7918367346938776,2,Unsatisfied,High Loyalty
5,45,Male,Blouse,Clothing,49,Oregon,M,Turquoise,Spring,2.7,Yes,Free Shipping,Yes,31,PayPal,Annually,1,0.3625,0.6122448979591837,0.48737244897959187,Mid Value,0.0,0.30612244897959184,0.2448979591836735,2,Unsatisfied,Low Loyalty
6,46,Male,Sneakers,Footwear,20,Wyoming,M,White,Summer,2.9,Yes,Standard,Yes,14,Venmo,Weekly,5,0.0,0.2653061224489796,0.1326530612244898,Low Value,1.0,0.6326530612244898,0.5061224489795919,2,Unsatisfied,Mid Loyalty
7,63,Male,Shirt,Clothing,85,Montana,M,Gray,Fall,3.2,Yes,Free Shipping,Yes,49,Cash,Quarterly,2,0.8125,0.9795918367346939,0.8960459183673469,High Value,0.25,0.6147959183673469,0.49183673469387756,2,Unsatisfied,Mid Loyalty
8,27,Male,Shorts,Clothing,34,Louisiana,L,Charcoal,Winter,3.2,Yes,Free Shipping,Yes,19,Credit Card,Weekly,5,0.175,0.3673469387755102,0.2711734693877551,Low Value,1.0,0.6836734693877551,0.5469387755102041,2,Unsatisfied,Mid Loyalty
9,26,Male,Coat,Outerwear,97,West Virginia,L,Silver,Summer,2.6,Yes,Express,Yes,8,Venmo,Annually,1,0.9625,0.14285714285714285,0.5526785714285715,Mid Value,0.0,0.07142857142857142,0.05714285714285714,2,Unsatisfied,Low Loyalty
10,57,Male,Handbag,Accessories,31,Missouri,M,Pink,Spring,4.8,Yes,2-Day Shipping,Yes,4,Cash,Quarterly,2,0.1375,0.061224489795918366,0.0993622448979592,Low Value,0.25,0.1556122448979592,0.12448979591836735,2,Satisfied,Low Loyalty
